,fraction_up,xsec_mean,xsec_std,xsec_med,p05,p95,volsurp_med,sector_disp_meanstd,sector_spread_meanabs,score,anomaly
2013-02-13,0.6,0.008609807406470105,0.01888144075470935,0.0027667583647579264,-0.0042420781787947835,0.03438102616006157,-0.3706962357541802,0.00525638962949026,0.01597463816720353,0.1404528902747793,0
2013-02-14,0.6,0.0068084711534881935,0.01281596662213966,0.00035676877049106714,-0.0008901521867130446,0.02454929581421332,-0.38776809736065293,0.01697068008355815,0.0036154366030564365,0.2133690390994108,0
2013-02-15,0.2,-0.0047658006296910525,0.009440472019473506,-0.0010699245957903614,-0.015087143568575457,0.005148382167148035,0.2230044223917466,0.007666196733697437,0.007344550349923019,0.2221777813394063,0
2013-02-19,0.6,0.00457791532789682,0.013178860419270813,0.0014280259854289046,-0.010757306234479524,0.017600914098504637,-0.24438601634606238,0.008065872349019742,0.011568667532382568,0.21398878774589342,0
2013-02-20,0.0,-0.015036535721219635,0.0065948218584689884,-0.01433121502735546,-0.022941218534228768,-0.007610008540714232,0.037134101027875725,0.008918584970044247,0.0018335880877222265,0.18782012933240178,0
2013-02-21,0.2,-0.0050021609417337356,0.006527012451890335,-0.006215937987683828,-0.012361784605194038,0.0027463343262058783,0.05924829269188853,0.0040137705008663005,0.005384029503563977,0.2222635865784363,0
2013-02-22,0.8,0.008496807017925767,0.007591880538684825,0.009821770098642935,-0.0005133910421168508,0.017101288395289238,-0.28089049098882785,0.004912848820150284,0.006086479663834639,0.23203684580154998,0
2013-02-25,0.0,-0.01629561110374609,0.003752296651843464,-0.017571849544543383,-0.02028180968781612,-0.011752985484061229,-0.018956818582002374,0.0020928526939477873,0.0032995331346322536,0.1447169818534586,0
2013-02-26,0.4,0.0033706536644618314,0.006600098026837318,0.0,-0.0017318428549720321,0.012285440643018796,-0.031733665487039854,0.0070058620812727904,0.004228050586154581,0.23287706740231623,0
2013-02-27,0.8,0.010416137707942651,0.011530720783839179,0.014998454912341863,-0.005397569852433825,0.018089887207888466,-0.19976288591907615,0.01571683423809984,0.0028352668709030406,0.20907287596757762,0
2013-02-28,0.6,0.0005844053500754009,0.004746207181771438,0.0017755020551071254,-0.005776269267647649,0.004584473784625586,-0.32845269778493297,0.005965219587688534,0.001991692388731359,0.22981375241685625,0
2013-03-01,0.8,-0.0007252684132873277,0.013462677572572013,0.00539573848904773,-0.0190198010069353,0.006094989449804,-0.20713264678246282,0.017009512661613012,0.0058849444988588575,0.1954067228855983,0
2013-03-04,0.6,0.0051480144227129985,0.02030957153133972,0.007155593922416381,-0.0201516575684616,0.025985253543604658,-0.0021766121457694938,0.015903323626751942,0.01619042273710269,0.14148911627369465,0
2013-03-05,1.0,0.014892194271417747,0.008316679977712812,0.01105840332249275,0.007499970419446766,0.02528436979089674,0.08317594469064023,0.010193191774838815,0.003924112309753339,0.2143382345329144,0
2013-03-06,0.0,-0.007560762635315932,0.004394165065046393,-0.008609613221335355,-0.012002592813702195,-0.0019312452552865632,-0.2767599238427864,0.006126787604871914,0.0006948913562479893,0.1913182475327675,0
2013-03-07,0.8,0.0025578215756876244,0.005287227261980258,0.0014674588456955462,-0.0018107295443790415,0.009602820833917655,-0.6221586715335405,0.007141027222283901,0.0014753052389974524,0.21801028024283664,0
2013-03-08,0.6,0.00044187246063611687,0.003736942105517052,0.0011318875703381082,-0.0042395115163442075,0.004291225025675516,-0.5663911150841068,0.005098619166353215,0.0009262339610747232,0.20600391868779455,0
2013-03-11,0.4,-0.0013096358599717695,0.010428698438076082,-0.004642827170235786,-0.010479241697614406,0.012189990107614566,-0.6552678901859094,0.012491633732369263,0.00537265003817029,0.2257989503062257,0
2013-03-12,0.6,-0.0029911879482052094,0.012451368090590088,0.0014351993891008608,-0.01897446018595439,0.009153735254724581,-0.09693475050603201,0.013797236603265428,0.007319407378715434,0.21346386301729137,0
2013-03-13,0.4,0.00018618613137553198,0.002249120003102392,0.0,-0.0022606353845438408,0.002902437816026903,-0.7118796984155974,0.00027698175388063114,0.002148859586216349,0.17440402238469283,0
2013-03-14,0.6,-0.0040478073043507925,0.01769990132739956,0.0007848724353043401,-0.02813280168399186,0.00932665037581395,-0.22444384153881936,0.004706027379138533,0.01355392487881281,0.15391969982178627,0
2013-03-15,0.2,-0.0019883055197334578,0.016034138350059384,-0.008627386815452276,-0.013563556038901936,0.01993203098109097,1.4434147749255597,0.018587905008132906,0.008705495056959873,0.14733784218008456,0
2013-03-18,0.4,-0.00016047858291967643,0.016456656792343406,-0.007120302633138786,-0.013607153535464333,0.022174354465710384,-0.5472703626015888,0.017746493882105953,0.010081738699836073,0.1751631370050276,0
2013-03-19,0.4,-0.0015190996930619428,0.004912128734297942,-0.0026989995033493974,-0.006247378920797897,0.004065297269565748,0.474687562649254,0.00464225241282121,0.0035550425700338877,0.2241888784534546,0
2013-03-20,0.8,0.003853109223232676,0.006169136821550482,0.004178386810885115,-0.0035635910407098236,0.010616694562201132,-0.49871197931284383,0.0087152002199794,0.00027677728384333124,0.2117330831173408,0
2013-03-21,0.2,-0.00823592057445901,0.0073415392535516625,-0.007415221989251486,-0.01570221893087289,0.00030331645591565775,-0.4236301601471072,0.008643675948656974,0.00394863909272924,0.2231436752865339,0
2013-03-22,0.8,0.009224809367793508,0.009100203431311297,0.004980412188140715,2.9398872307684343e-05,0.019662957281405234,-0.7482098488017099,0.00887497120915804,0.006394093837872949,0.2241290832271558,0
2013-03-25,0.2,-0.002543640120009449,0.004125062882839598,-0.0031858461093058343,-0.0064913445885847795,0.0027269590367533284,-0.035050438705642645,0.004782217299468804,0.0022340813730103892,0.21700487396483636,0
2013-03-26,0.6,0.004435798048352635,0.008283830292956793,0.003433672831556711,-0.004210712095624824,0.014855663852077282,-0.8623860655313293,0.006284060546062039,0.005698578579375541,0.23008241720887146,0
2013-03-27,0.6,0.0013932835078281692,0.016490174401806487,0.00745742162497165,-0.018120296640694276,0.01773557595816042,-0.1962293062910126,0.017111483307742942,0.010879804809424796,0.18950748072426404,0
2013-03-28,0.6,-0.0008430215264465746,0.01445802023210753,0.004485468455380559,-0.01878007209885977,0.013075329989471073,-0.02138591431668775,0.018802566371774014,0.005499431205744409,0.20495716531157243,0
2013-04-01,0.2,-0.014659207363288452,0.018540844155468618,-0.018312164309255197,-0.032401026981963586,0.00705126771744453,-0.4919208496605932,0.0184358823366893,0.011244342436923328,0.12678096002012074,0
2013-04-02,0.8,0.003908835371249175,0.009261942683462907,0.006536502385771525,-0.007970006001038454,0.01316053540144919,-0.0530189672041913,0.008859668071411602,0.006004113013234836,0.2423014831468896,0
2013-04-03,0.2,-0.008026878548859062,0.008045236442163452,-0.008412871243969278,-0.015476591241786597,0.002428352376640117,-0.4897666830686504,0.009096563139998232,0.0038449379083946808,0.22181677588358384,0
2013-04-04,0.6,-0.0024407061215775848,0.009465411637626797,0.00019306907071769963,-0.013021293234509313,0.00819435696361097,-0.5839085008690893,0.009921460501177997,0.0056362993308470615,0.22817207826718539,0
2013-04-05,0.4,-0.0037883363327122278,0.013853332512672335,-0.010567591060091086,-0.014873582446353551,0.014413606866385285,1.0644803539846968,0.01385576001801905,0.009527472938668435,0.1766423248114838,0
2013-04-08,0.4,0.0007964589887310636,0.009513691048975138,-0.0024077213939335262,-0.00914408193206757,0.012288308476477548,-0.26478350657228245,0.005950644935878752,0.008186669373191416,0.22766954895069036,0
2013-04-09,1.0,0.0131288768904676,0.01376350793848287,0.00845722567289009,0.0021680275239676305,0.03175947848467455,0.12767287853972853,0.01700415400121355,0.006305295672196385,0.19360031049753818,0
2013-04-10,1.0,0.01777502100916504,0.0036044965742846116,0.01611268510088726,0.014287499354869126,0.022181810218620913,-0.10667062327881872,0.003462365538754133,0.0024608031552929995,0.16909170498120252,0
